district,latitude,longitude
Ariyalur,11.1385,79.0756
Chengalpattu,12.6926,79.977
Chennai,13.0827,80.2707
Coimbatore,11.0168,76.9558
Cuddalore,11.7447,79.768
Dharmapuri,12.1211,78.1582
Dindigul,10.3673,77.9803
Erode,11.341,77.7172
Kallakurichi,11.7389,78.9597
Kanchipuram,12.8342,79.7036
Kanyakumari,8.0883,77.5385
Karur,10.9601,78.0766
Krishnagiri,12.5186,78.2137
Madurai,9.9252,78.1198
Mayiladuthurai,11.1035,79.655
Nagapattinam,10.7656,79.8428
Namakkal,11.2194,78.1674
Nilgiris,11.4102,76.695
Perambalur,11.2333,78.8833
Pudukkottai,10.3797,78.8208
Ramanathapuram,9.3639,78.8395
Ranipet,12.9273,79.333
Salem,11.6643,78.146
Sivagangai,9.8477,78.4836
Tenkasi,8.959,77.3152
Thanjavur,10.7867,79.1378
Theni,10.0104,77.4768
Thoothukudi,8.7642,78.1348
Tiruchirappalli,10.7905,78.7047
Tirunelveli,8.7139,77.7567
Tirupathur,12.4953,78.5678
Tiruppur,11.1085,77.3411
Tiruvallur,13.1439,79.9087
Tiruvannamalai,12.2253,79.0747
Tiruvarur,10.7722,79.6368
Vellore,12.9165,79.1325
Viluppuram,11.9401,79.4861
Virudhunagar,9.5851,77.9579
